[Nov-14-2023 23:59:36]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeEagerLoadingError: AsistenciaRegistroPersonal is not associated to AsistenciaFechaTurno!.
[Nov-15-2023 00:00:24]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeEagerLoadingError: AsistenciaRegistroPersonal is not associated to AsistenciaFechaTurno!.
[Nov-15-2023 00:00:26]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeEagerLoadingError: AsistenciaRegistroPersonal is not associated to AsistenciaFechaTurno!.
[Nov-15-2023 00:02:32]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeEagerLoadingError: AsistenciaRegistroPersonal is associated to AsistenciaFechaTurno using an alias. You must use the 'as' keyword to specify the alias within your include statement..
[Nov-15-2023 00:02:41]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeEagerLoadingError: AsistenciaRegistroPersonal is associated to AsistenciaFechaTurno using an alias. You must use the 'as' keyword to specify the alias within your include statement..
[Nov-15-2023 00:04:14]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeEagerLoadingError: Turno is associated to AsistenciaFechaTurno using an alias. You must use the 'as' keyword to specify the alias within your include statement..
[Nov-15-2023 00:04:33]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeEagerLoadingError: AsistenciaUbicacion is associated to AsistenciaFechaTurno using an alias. You must use the 'as' keyword to specify the alias within your include statement..
[Nov-15-2023 00:05:13]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeEagerLoadingError: AsistenciaUbicacion is associated to AsistenciaFechaTurno using an alias. You've included an alias (AsistenciaUbicacion), but it does not match the alias(es) defined in your association (Ubicacion)..
[Nov-15-2023 00:05:33]  'error' 500 GET getAsistenciaFechaTurnos, Error: WHERE parameter "idusuario" has invalid "undefined" value.
[Nov-15-2023 00:05:53]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeDatabaseError: Column 'Asistencia_FechaxTurno.idasistenciaturno' is invalid in the select list because it is not contained in either an aggregate function or the GROUP BY clause..
[Nov-15-2023 00:06:40]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeDatabaseError: Column 'Asistencia_FechaxTurno.idasistenciaturno' is invalid in the select list because it is not contained in either an aggregate function or the GROUP BY clause..
[Nov-15-2023 00:07:09]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeDatabaseError: Invalid column name 'id'..
[Nov-15-2023 00:07:24]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeDatabaseError: Column 'Asistencia_FechaxTurno.idasistenciaturno' is invalid in the select list because it is not contained in either an aggregate function or the GROUP BY clause..
[Nov-15-2023 00:12:24]  'error' 500 GET getAsistenciaFechaTurnos, Error: Include unexpected. Element has to be either a Model, an Association or an object..
[Nov-15-2023 00:13:17]  'error' 500 GET getAsistenciaFechaTurnos, Error: Include unexpected. Element has to be either a Model, an Association or an object..
[Nov-15-2023 00:13:19]  'error' 500 GET getAsistenciaFechaTurnos, Error: Include unexpected. Element has to be either a Model, an Association or an object..
[Nov-15-2023 00:14:42]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeDatabaseError: Incorrect syntax near ')'..
[Nov-15-2023 00:14:55]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeDatabaseError: Incorrect syntax near ','..
[Nov-15-2023 00:16:23]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeDatabaseError: Incorrect syntax near ')'..
[Nov-15-2023 00:16:38]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeDatabaseError: Incorrect syntax near ')'..
[Nov-15-2023 00:16:49]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeDatabaseError: Incorrect syntax near ','..
[Nov-15-2023 00:19:41]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeDatabaseError: Incorrect syntax near ','..
[Nov-15-2023 00:25:13]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeDatabaseError: Incorrect syntax near ','..
[Nov-15-2023 00:28:01]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeDatabaseError: Incorrect syntax near ')'..
[Nov-15-2023 00:28:12]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeDatabaseError: Incorrect syntax near ','..
[Nov-15-2023 00:29:32]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeDatabaseError: Incorrect syntax near ','..
[Nov-15-2023 00:29:54]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeEagerLoadingError: AsistenciaRegistroPersonal is associated to AsistenciaFechaTurno using an alias. You've included an alias (Registros), but it does not match the alias(es) defined in your association (AsistenciaRegistroPersonals)..
[Nov-15-2023 00:30:25]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeEagerLoadingError: AsistenciaRegistroPersonal is associated to AsistenciaFechaTurno using an alias. You've included an alias (Registros), but it does not match the alias(es) defined in your association (registros)..
[Nov-15-2023 00:30:27]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeEagerLoadingError: AsistenciaRegistroPersonal is associated to AsistenciaFechaTurno using an alias. You've included an alias (Registros), but it does not match the alias(es) defined in your association (registros)..
[Nov-15-2023 00:31:29]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeEagerLoadingError: AsistenciaRegistroPersonal is associated to AsistenciaFechaTurno using an alias. You've included an alias (Registros), but it does not match the alias(es) defined in your association (registros)..
[Nov-15-2023 00:32:17]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeEagerLoadingError: AsistenciaRegistroPersonal is associated to AsistenciaFechaTurno using an alias. You've included an alias (Registros), but it does not match the alias(es) defined in your association (registros)..
[Nov-15-2023 00:32:19]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeEagerLoadingError: AsistenciaRegistroPersonal is associated to AsistenciaFechaTurno using an alias. You've included an alias (Registros), but it does not match the alias(es) defined in your association (registros)..
[Nov-15-2023 00:32:36]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeDatabaseError: Incorrect syntax near ','..
[Nov-15-2023 00:33:03]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeDatabaseError: Incorrect syntax near ','..
[Nov-15-2023 00:33:16]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeDatabaseError: Incorrect syntax near the keyword 'FROM'..
[Nov-15-2023 00:34:59]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeDatabaseError: Invalid object name 'registros'..
[Nov-15-2023 00:36:05]  'error' 500 GET getAsistenciaFechaTurnos, SequelizeDatabaseError: Invalid column name 'CuponsCount'..
