[Dec-15-2023 08:07:49]  'error' f5ed1f29-9f80-43c7-9717-45bb12041fac:  TypeError: Cannot read property '0' of undefined
[Dec-15-2023 08:10:16]  'info' 200 DELETE deletePesado, 748 id.
[Dec-15-2023 08:10:16]  'error' 94276c89-e930-4fb1-9469-199a8211ac8e:  TypeError: Cannot read property '0' of undefined
[Dec-15-2023 08:12:57]  'info' API REST, corriendo en el puerto: 3002
[Dec-15-2023 08:13:03]  'info' 200 DELETE deletePesado, 748 id.
[Dec-15-2023 08:13:03]  'error' 7254de77-e293-42d7-b951-bf5f052bb07e:  TypeError: Cannot read property '0' of undefined
[Dec-15-2023 08:13:28]  'info' API REST, corriendo en el puerto: 3002
[Dec-15-2023 08:13:31]  'info' 200 DELETE deletePesado, 748 id.
[Dec-15-2023 08:13:31]  'error' cd8793a1-5ac3-4e34-8185-a01cf828a624:  TypeError: Cannot read property '0' of undefined
[Dec-15-2023 08:13:31]  'info' 200 DELETE deletePesado, 748 id.
[Dec-15-2023 08:13:31]  'error' 61aca81b-896e-4c97-a396-a9f214f81b50:  TypeError: Cannot read property '0' of undefined
[Dec-15-2023 08:13:44]  'info' API REST, corriendo en el puerto: 3002
[Dec-15-2023 08:13:47]  'info' 200 GET getPesados, 0 items.
[Dec-15-2023 08:14:06]  'info' 200 GET getPesados, 1 items.
[Dec-15-2023 08:14:26]  'info' API REST, corriendo en el puerto: 3002
[Dec-15-2023 08:14:40]  'info' API REST, corriendo en el puerto: 3002
[Dec-15-2023 08:14:46]  'info' 200 DELETE deletePesado, 748 id.
[Dec-15-2023 08:14:46]  'error' 4ad824e6-6c99-4136-9701-53ff1806bae8:  TypeError: Cannot read property '0' of undefined
[Dec-15-2023 08:15:21]  'info' API REST, corriendo en el puerto: 3002
[Dec-15-2023 08:15:27]  'info' 200 DELETE deletePesado, 748 id.
[Dec-15-2023 08:15:27]  'error' 5ecd4d9e-6fc6-430d-ac50-d777abcda238:  TypeError: Cannot read property '0' of undefined
[Dec-15-2023 08:16:01]  'info' API REST, corriendo en el puerto: 3002
[Dec-15-2023 08:16:08]  'info' 200 DELETE deletePesado, 748 id.
[Dec-15-2023 08:18:53]  'info' 200 GET getPesados, 0 items.
[Dec-15-2023 08:19:24]  'info' 200 GET getPesados, 1 items.
[Dec-15-2023 08:19:26]  'info' 200 GET getLineasMesas, 2 values.
[Dec-15-2023 16:05:35]  'info' 200 GET getLineasMesas, 2 values.
[Dec-15-2023 16:05:39]  'info' 200 GET getLineasMesas, 2 values.
[Dec-15-2023 16:10:13]  'info' 200 GET getAsistenciaFechaTurnos, 2 values.
[Dec-15-2023 16:10:42]  'info' 200 GET getPesados, 1 items.
[Dec-15-2023 16:11:53]  'info' 200 GET getLineasMesas, 2 values.
[Dec-15-2023 16:27:13]  'info' API REST, corriendo en el puerto: 3002
[Dec-15-2023 16:27:17]  'info' API REST, corriendo en el puerto: 3002
[Dec-15-2023 16:27:52]  'info' API REST, corriendo en el puerto: 3002
[Dec-15-2023 16:28:17]  'info' API REST, corriendo en el puerto: 3002
[Dec-15-2023 16:39:20]  'info' API REST, corriendo en el puerto: 3002
[Dec-15-2023 16:40:13]  'info' API REST, corriendo en el puerto: 3002
[Dec-15-2023 16:43:25]  'info' API REST, corriendo en el puerto: 3002
[Dec-15-2023 16:56:04]  'info' 200 GET getAsistenciaFechaTurnos, 2 values.
[Dec-15-2023 16:56:24]  'info' 200 GET getPesados, 1 items.
[Dec-15-2023 16:56:25]  'info' 200 GET getLineasMesas, 2 values.
[Dec-15-2023 17:00:09]  'info' 200 GET getAsistenciaFechaTurnos, 2 values.
[Dec-17-2023 19:29:32]  'info' API REST, corriendo en el puerto: 3002
[Dec-17-2023 19:37:43]  'info' 200 GET getAsistenciaFechaTurnos, 2 values.
[Dec-17-2023 19:39:31]  'info' 200 GET getPesados, 1 items.
[Dec-17-2023 19:39:34]  'info' 200 GET getLineasMesas, 2 values.
[Dec-17-2023 19:42:08]  'info' 200 GET getAsistenciaFechaTurnos, 2 values.
[Dec-17-2023 19:42:18]  'info' 200 GET getPesados, 1 items.
[Dec-17-2023 19:42:19]  'info' 200 GET getLineasMesas, 2 values.
[Dec-17-2023 20:27:25]  'info' 200 GET getAsistenciaFechaTurnos, 2 values.
[Dec-17-2023 20:52:39]  'info' 200 GET getAsistenciaFechaTurnos, 2 values.
[Dec-17-2023 21:18:37]  'info' 200 GET getPesados, 1 items.
[Dec-17-2023 21:18:38]  'info' 200 GET getLineasMesas, 2 values.
[Dec-17-2023 23:45:51]  'info' API REST, corriendo en el puerto: 3002
[Dec-17-2023 23:48:47]  'info' API REST, corriendo en el puerto: 3002
[Dec-17-2023 23:49:32]  'error' 038061d1-c733-4ea6-8c77-02cfd321b7e1:  Requested path / not found
[Dec-18-2023 00:09:17]  'info' API REST, corriendo en el puerto: 3002
[Dec-18-2023 00:09:41]  'info' 200 GET getAsistenciaFechaTurnos, 2 values.
[Dec-18-2023 00:16:56]  'info' API REST, corriendo en el puerto: 3002
[Dec-18-2023 00:17:16]  'info' 200 GET getAsistenciaFechaTurnos, 2 values.
[Dec-18-2023 00:17:20]  'info' 200 GET getPesados, 1 items.
[Dec-18-2023 00:17:23]  'info' 200 GET getLineasMesas, 2 values.
[Dec-18-2023 00:17:27]  'error' 43ecf2cc-6e38-46d9-b120-d480669d6e2f:  Error: 500 GET getPesadoPersonal, SequelizeDatabaseError: Invalid column name 'estado'..
[Dec-18-2023 00:18:09]  'error' 72d05808-c375-41d7-933a-3f6b6d42f63b:  Error: 500 GET getPesadoPersonal, SequelizeDatabaseError: Invalid column name 'estado'..
[Dec-18-2023 00:20:46]  'info' 200 GET getAsistenciaFechaTurnos, 2 values.
[Dec-18-2023 00:26:49]  'info' 200 GET getPesados, 1 items.
[Dec-18-2023 00:26:51]  'info' 200 GET getLineasMesas, 2 values.
[Dec-18-2023 00:26:53]  'info' 200 GET getPesadoPersonal, 0 items.
[Dec-18-2023 01:28:37]  'info' API REST, corriendo en el puerto: 3002
[Dec-18-2023 01:36:30]  'info' 200 GET getAsistenciaFechaTurnos, 2 values.
[Dec-18-2023 01:38:32]  'info' 200 GET getPesados, 1 items.
[Dec-18-2023 01:38:33]  'info' 200 GET getLineasMesas, 2 values.
[Dec-18-2023 01:38:35]  'info' 200 GET getPesadoPersonal, 0 items.
[Dec-18-2023 01:47:50]  'info' API REST, corriendo en el puerto: 3002
[Dec-18-2023 01:52:38]  'info' 200 GET getPesadoPersonal, 0 items.
[Dec-18-2023 01:55:03]  'info' 200 GET getPesadoPersonal, 0 items.
[Dec-18-2023 01:56:08]  'info' 200 GET getAsistenciaFechaTurnos, 2 values.
[Dec-18-2023 01:56:21]  'info' 200 GET getPesados, 1 items.
[Dec-18-2023 01:56:23]  'info' 200 GET getLineasMesas, 2 values.
[Dec-18-2023 01:56:24]  'info' 200 GET getPesadoPersonal, 0 items.
[Dec-18-2023 02:00:34]  'info' 200 GET getAsistenciaFechaTurnos, 2 values.
[Dec-18-2023 02:00:41]  'info' 200 GET getPesados, 1 items.
[Dec-18-2023 02:00:44]  'info' 200 GET getLineasMesas, 2 values.
[Dec-18-2023 02:00:46]  'info' 200 GET getPesadoPersonal, 0 items.
[Dec-18-2023 02:01:12]  'info' 200 GET getPesadoPersonal, 0 items.
[Dec-18-2023 02:03:54]  'info' 200 GET getPesadoPersonal, 0 items.
[Dec-18-2023 02:04:18]  'info' 200 GET getPesadoPersonal, 0 items.
[Dec-18-2023 02:05:56]  'info' 200 GET getPesadoPersonal, 0 items.
[Dec-18-2023 02:07:10]  'info' 200 GET getPesadoPersonal, 0 items.
[Dec-18-2023 02:10:23]  'info' 200 GET getPesadoPersonal, 0 items.
[Dec-18-2023 02:25:27]  'info' API REST, corriendo en el puerto: 3002
[Dec-18-2023 02:25:35]  'info' 200 GET getPesados, 1 items.
[Dec-18-2023 02:25:38]  'info' 200 GET getLineasMesas, 2 values.
[Dec-18-2023 02:25:41]  'info' 200 GET getPesadoPersonal, 0 items.
[Dec-18-2023 02:29:53]  'info' 200 GET getPesadoPersonal, 0 items.
[Dec-18-2023 02:30:00]  'info' 200 GET getPesadoPersonal, 0 items.
[Dec-18-2023 02:30:25]  'info' 200 GET getPesadoPersonal, 0 items.
[Dec-18-2023 02:31:55]  'info' 200 GET getPesadoPersonal, 0 items.
[Dec-18-2023 02:32:52]  'info' 200 GET getPesadoPersonal, 0 items.
[Dec-18-2023 02:35:00]  'info' 200 GET getAsistenciaFechaTurnos, 2 values.
[Dec-18-2023 02:35:07]  'info' 200 GET getPesados, 1 items.
[Dec-18-2023 02:35:10]  'info' 200 GET getLineasMesas, 2 values.
[Dec-18-2023 02:35:13]  'info' 200 GET getPesadoPersonal, 0 items.
[Dec-18-2023 02:37:51]  'info' 200 GET getAsistenciaFechaTurnos, 2 values.
[Dec-18-2023 02:38:32]  'info' 200 GET getPesados, 1 items.
[Dec-18-2023 02:38:34]  'info' 200 GET getLineasMesas, 2 values.
[Dec-18-2023 02:38:36]  'info' 200 GET getPesadoPersonal, 0 items.
[Dec-18-2023 02:42:33]  'info' 200 GET GET_CENTRO_COSTOS 1245 values.
[Dec-18-2023 02:42:34]  'info' 200 GET getTurnos, 2 values.
[Dec-18-2023 02:42:34]  'info' 200 GET getAsistenciaUbicacions, 3 values.
[Dec-18-2023 02:42:35]  'info' 200 GET getPersonal_EmpresasCount 26336 values.
[Dec-18-2023 02:42:36]  'info' 200 GET getPersonal_EmpresasByLimitAndOffset, limit: 8000 y offset: 0.
[Dec-18-2023 02:42:42]  'info' 200 GET getPersonal_EmpresasByLimitAndOffset, limit: 8000 y offset: 8000.
[Dec-18-2023 02:42:47]  'info' 200 GET getPersonal_EmpresasByLimitAndOffset, limit: 8000 y offset: 16000.
[Dec-18-2023 02:42:52]  'info' 200 GET getPersonal_EmpresasByLimitAndOffset, limit: 8000 y offset: 24000.
[Dec-18-2023 02:43:40]  'info' 200 GET getAsistenciaFechaTurnos, 2 values.
[Dec-18-2023 02:43:44]  'info' 200 GET getPesados, 1 items.
[Dec-18-2023 02:43:45]  'info' 200 GET getLineasMesas, 2 values.
[Dec-18-2023 02:43:47]  'info' 200 GET getPesadoPersonal, 0 items.
[Dec-18-2023 02:46:36]  'info' 200 GET getPesadoPersonal, 0 items.
[Jan-25-2024 04:31:29]  'info' API REST, corriendo en el puerto: 3002
[Jan-25-2024 04:31:56]  'info' 200 GET getAsistenciaFechaTurnos, 2 values.
[Jan-25-2024 04:32:06]  'info' 200 GET getPesados, 1 items.
[Jan-25-2024 04:32:15]  'info' 200 GET getLineasMesas, 2 values.
[Jan-25-2024 04:32:58]  'info' 200 GET getPesadoPersonal, 151419 items.
[Jan-25-2024 21:45:27]  'info' 200 GET getAsistenciaFechaTurnos, 2 values.
[Jan-25-2024 21:48:40]  'info' 200 GET getPesados, 1 items.
[Jan-25-2024 21:48:42]  'info' 200 GET getLineasMesas, 2 values.
[Jan-25-2024 21:49:01]  'info' 200 GET getPesados, 1 items.
[Jan-25-2024 21:49:20]  'info' 200 GET getLineasMesas, 2 values.
[Jan-25-2024 21:52:56]  'info' API REST, corriendo en el puerto: 3002
[Jan-25-2024 21:52:59]  'info' 200 GET getLineasMesas, 2 values.
[Jan-25-2024 21:53:18]  'info' 200 GET getPesadoPersonal, 151979 items.
[Jan-25-2024 21:53:59]  'info' API REST, corriendo en el puerto: 3002
[Jan-25-2024 21:55:41]  'info' 200 GET getPesadoPersonal, 151979 items.
[Jan-25-2024 21:56:22]  'info' API REST, corriendo en el puerto: 3002
[Jan-25-2024 21:57:39]  'info' API REST, corriendo en el puerto: 3002
[Jan-25-2024 21:57:52]  'info' 200 GET getPesadoPersonal, 151979 items.
[Jan-25-2024 22:22:27]  'info' 200 GET getAsistenciaFechaTurnos, 2 values.
[Jan-25-2024 22:28:57]  'info' 200 GET getPesados, 1 items.
[Jan-25-2024 22:28:59]  'info' 200 GET getLineasMesas, 2 values.
[Jan-25-2024 22:29:03]  'info' 200 GET getPesadoPersonal, 13811 items.
[Jan-25-2024 22:33:27]  'info' 200 GET getPesadoPersonal, 0 items.
[Jan-25-2024 22:34:14]  'info' 200 GET getPesadoPersonal, 0 items.
[Jan-25-2024 22:35:30]  'info' 200 GET getLineasMesas, 2 values.
[Jan-25-2024 22:35:48]  'info' 200 GET getLineasMesas, 2 values.
[Jan-25-2024 22:39:10]  'info' 200 GET getPesadoPersonal, 0 items.
[Jan-25-2024 22:46:46]  'info' 200 GET getPesados, 1 items.
[Jan-25-2024 22:46:47]  'info' 200 GET getLineasMesas, 2 values.
[Jan-25-2024 22:51:02]  'info' 200 GET getPesados, 1 items.
[Jan-25-2024 22:51:10]  'info' 200 GET getLineasMesas, 2 values.
[Jan-25-2024 22:51:18]  'info' 200 GET getLineasMesas, 2 values.
[Jan-25-2024 22:51:51]  'info' 200 GET getLineasMesas, 2 values.
[Jan-25-2024 22:53:51]  'info' 200 GET getLineasMesas, 2 values.
[Jan-25-2024 23:12:06]  'info' 200 GET getPesados, 1 items.
[Jan-25-2024 23:12:08]  'info' 200 GET getLineasMesas, 2 values.
[Jan-25-2024 23:15:07]  'info' 200 GET getPesados, 1 items.
[Jan-25-2024 23:15:12]  'info' 200 GET getLineasMesas, 2 values.
[Jan-25-2024 23:19:49]  'info' 200 GET getLineasMesas, 2 values.
[Jan-25-2024 23:20:02]  'info' 200 GET getLineasMesas, 2 values.
[Jan-25-2024 23:21:06]  'info' 200 GET getLineasMesas, 2 values.
[Jan-25-2024 23:21:08]  'info' 200 GET getLineasMesas, 2 values.
[Jan-25-2024 23:22:04]  'info' 200 GET getPesados, 1 items.
[Jan-25-2024 23:39:46]  'info' 200 DELETE deletePesado, 748 id.
[Jan-25-2024 23:39:54]  'info' 200 GET getPesados, 0 items.
[Jan-25-2024 23:39:55]  'info' 200 GET getPesados, 0 items.
[Jan-25-2024 23:40:32]  'info' 200 POST createPesado, new key: 907.
[Jan-25-2024 23:40:41]  'info' 200 GET getPesados, 1 items.
[Jan-25-2024 23:42:17]  'info' API REST, corriendo en el puerto: 3002
[Jan-25-2024 23:43:39]  'info' 200 GET getPesados, 1 items.
[Jan-25-2024 23:43:51]  'info' API REST, corriendo en el puerto: 3002
[Jan-25-2024 23:43:53]  'info' 200 GET getPesados, 1 items.
[Jan-25-2024 23:43:55]  'info' 200 GET getPesados, 1 items.
[Jan-25-2024 23:45:33]  'info' API REST, corriendo en el puerto: 3002
[Jan-25-2024 23:45:38]  'info' 200 GET getPesados, 1 items.
[Jan-25-2024 23:47:36]  'info' 200 GET getLineasMesas, 2 values.
[Jan-25-2024 23:48:09]  'info' 200 GET getPesadoPersonal, 0 items.
[Jan-25-2024 23:51:53]  'info' 200 GET getLineasMesas, 2 values.
[Jan-25-2024 23:51:57]  'info' 200 GET getLineasMesas, 2 values.
[Jan-25-2024 23:52:00]  'info' 200 GET getLineasMesas, 2 values.
[Jan-25-2024 23:52:37]  'info' 200 GET getLineasMesas, 2 values.
[Jan-25-2024 23:53:42]  'info' 200 GET getLineasMesas, 2 values.
[Jan-25-2024 23:56:47]  'info' 200 GET getLineasMesas, 2 values.
[Jan-26-2024 00:00:39]  'info' 200 GET getLineasMesas, 2 values.
[Jan-26-2024 00:13:16]  'info' API REST, corriendo en el puerto: 3002
[Jan-26-2024 00:13:19]  'info' 200 GET getLineasMesas, 2 values.
[Jan-26-2024 00:13:22]  'info' 200 GET getLineasMesas, 2 values.
[Jan-26-2024 00:13:35]  'info' 200 GET getLineasMesas, 2 values.
[Jan-26-2024 00:14:08]  'info' 200 GET getLineasMesas, 2 values.
[Jan-26-2024 00:14:12]  'info' 200 GET getLineasMesas, 2 values.
[Jan-26-2024 00:14:17]  'info' 200 GET getLineasMesas, 2 values.
[Jan-26-2024 00:15:00]  'info' 200 GET getAsistenciaFechaTurnos, 2 values.
[Jan-26-2024 00:15:14]  'info' 200 GET getPesados, 1 items.
[Jan-26-2024 00:15:15]  'info' 200 GET getLineasMesas, 2 values.
[Jan-26-2024 00:15:38]  'info' 200 GET getLineasMesas, 2 values.
[Jan-26-2024 00:19:02]  'info' 200 GET getLineasMesas, 2 values.
[Jan-26-2024 00:19:12]  'info' 200 GET getLineasMesas, 2 values.
[Jan-26-2024 00:19:51]  'info' 200 GET getLineasMesas, 2 values.
[Jan-26-2024 00:19:58]  'info' 200 GET getLineasMesas, 2 values.
[Jan-26-2024 00:20:05]  'info' 200 GET getLineasMesas, 2 values.
[Jan-26-2024 00:22:37]  'info' 200 GET getLineasMesas, 2 values.
[Jan-26-2024 00:22:53]  'info' 200 GET getLineasMesas, 2 values.
[Jan-26-2024 00:23:49]  'info' 200 GET getPesadoPersonal, 0 items.
[Jan-26-2024 00:30:09]  'info' 200 GET getPesadoPersonal, 0 items.
[Jan-26-2024 00:34:17]  'info' 200 GET getPesadoPersonal, 0 items.
[Jan-26-2024 00:51:21]  'error' 7b568cdb-9416-42f2-b1be-0b80c75c34d8:  Error: POST createPersonalPesado, SequelizeValidationError: notNull Violation: Personal_Pre_Tarea_Esparrago.fechamod cannot be null.
[Jan-26-2024 00:52:36]  'info' 200 GET getAsistenciaFechaTurnos, 2 values.
[Jan-26-2024 00:52:40]  'info' 200 GET getPesados, 1 items.
[Jan-26-2024 00:52:41]  'info' 200 GET getLineasMesas, 2 values.
[Jan-26-2024 00:52:55]  'info' 200 GET getPesadoPersonal, 0 items.
[Jan-26-2024 00:53:17]  'error' a97206ac-937a-41b3-863b-1baec4a5c619:  Error: POST createPersonalPesado, SequelizeValidationError: notNull Violation: Personal_Pre_Tarea_Esparrago.fechamod cannot be null.
[Jan-26-2024 00:54:10]  'info' 200 GET getAsistenciaFechaTurnos, 2 values.
[Jan-26-2024 00:54:15]  'info' 200 GET getPesados, 1 items.
[Jan-26-2024 00:54:16]  'info' 200 GET getLineasMesas, 2 values.
[Jan-26-2024 00:54:23]  'info' 200 GET getPesadoPersonal, 0 items.
[Jan-26-2024 00:54:31]  'error' 7e2eb326-431e-4601-9124-92ed4f048e28:  Error: POST createPersonalPesado, SequelizeValidationError: notNull Violation: Personal_Pre_Tarea_Esparrago.fechamod cannot be null.
[Jan-26-2024 01:00:46]  'info' API REST, corriendo en el puerto: 3002
[Jan-26-2024 01:00:53]  'info' 200 GET getPesadoPersonal, 0 items.
[Jan-26-2024 01:01:21]  'error' 75fab3e8-b277-4913-989d-a4c35c30726f:  Error: POST createPersonalPesado, SequelizeDatabaseError: Cannot insert the value NULL into column 'itempretareaesparragovarios', table 'AGV_CONTROLES.dbo.PersonalPreTareaEsparrago'; column does not allow nulls. INSERT fails..
[Jan-26-2024 01:03:08]  'info' API REST, corriendo en el puerto: 3002
[Jan-26-2024 01:03:12]  'info' 200 GET getPesadoPersonal, 0 items.
[Jan-26-2024 01:03:38]  'info' 200 POST createPersonalPesado, new key: 907.
[Jan-26-2024 01:08:23]  'info' 200 GET getPesadoPersonal, 1 items.
[Jan-26-2024 01:08:58]  'info' 200 GET getPesadoPersonal, 1 items.
[Jan-26-2024 01:16:25]  'info' 200 GET getPesadoPersonal, 1 items.
[Jan-26-2024 01:16:43]  'info' 200 GET getPesadoPersonal, 1 items.
[Jan-26-2024 01:18:24]  'info' 200 GET getPesadoPersonal, 1 items.
[Jan-26-2024 01:19:03]  'info' 200 GET getAsistenciaFechaTurnos, 2 values.
[Jan-26-2024 01:20:49]  'info' 200 GET getPesados, 1 items.
[Jan-26-2024 01:20:50]  'info' 200 GET getLineasMesas, 2 values.
[Jan-26-2024 01:20:52]  'info' 200 GET getPesadoPersonal, 1 items.
[Jan-26-2024 01:24:17]  'info' API REST, corriendo en el puerto: 3002
[Jan-26-2024 01:24:39]  'info' 200 GET getPesadoPersonal, 1 items.
[Jan-26-2024 01:25:21]  'info' API REST, corriendo en el puerto: 3002
[Jan-26-2024 01:25:25]  'info' 200 GET getPesadoPersonal, 1 items.
[Jan-26-2024 01:25:46]  'info' 200 GET getPesadoPersonal, 1 items.
[Jan-26-2024 01:26:54]  'info' API REST, corriendo en el puerto: 3002
[Jan-26-2024 01:27:01]  'info' 200 GET getPesadoPersonal, 1 items.
[Jan-26-2024 01:38:13]  'info' 200 GET getLineasMesas, 2 values.
[Jan-26-2024 01:40:09]  'info' API REST, corriendo en el puerto: 3002
[Jan-26-2024 01:40:19]  'info' 200 GET getLineasMesas, 2 values.
[Jan-26-2024 01:40:56]  'info' 200 GET getLineasMesas, 2 values.
[Jan-26-2024 01:42:39]  'info' API REST, corriendo en el puerto: 3002
[Jan-26-2024 01:45:46]  'info' API REST, corriendo en el puerto: 3002
[Jan-26-2024 01:45:49]  'info' 200 GET getLineasMesas, 2 values.
[Jan-26-2024 01:51:20]  'info' API REST, corriendo en el puerto: 3002
[Jan-26-2024 01:53:17]  'info' 200 GET getLineasMesas, 2 values.
[Jan-26-2024 01:53:25]  'info' API REST, corriendo en el puerto: 3002
[Jan-26-2024 01:53:27]  'error' 500 GET getLineasMesas, SequelizeDatabaseError: Invalid column name 'undefined'..
[Jan-26-2024 01:54:46]  'error' 500 GET getLineasMesas, SequelizeDatabaseError: Invalid column name 'undefined'..
[Jan-26-2024 01:57:31]  'info' API REST, corriendo en el puerto: 3002
[Jan-26-2024 01:57:50]  'info' 200 GET getAsistenciaFechaTurnos, 2 values.
[Jan-26-2024 01:57:55]  'info' 200 GET getPesados, 1 items.
[Jan-26-2024 01:58:09]  'error' 500 GET getLineasMesas, SequelizeDatabaseError: Invalid column name 'undefined'..
